reviewId,content,score,at
134e9d60-8bdd-4941-a1a1-eb769cc993d7,"Attention si vous avez plusieurs erreurs commises par les livreurs ou les restaurants sur vos commandes on ne vous rembourse pas ces erreurs, quel plaisir de payer 10 tenders et d'en recevoir 5 sans remboursement ni geste commercial. A éviter !",1,2025-10-06 00:04:53
372c6797-22ed-4c57-8e7b-ac2faf5c693c,"impossible de passer une commande, j'ai plusieurs ami et moi qui avons essayer. c'est impossible, quelque soit le numéro il n'envoie pas le code de vérification pour finir la validation et en plus font payer.",1,2025-10-05 22:28:32
39fbb75b-aba4-4e0c-93dc-84391212d147,trop cher,1,2025-10-05 21:28:29
fb0ea0e9-04bb-4add-8f51-3fa76cbe7b9e,Grosse blague les frais de services. La même chose que les frais de ménages airbnb.,1,2025-10-05 20:22:41
1fe24c62-c935-4b0b-829e-55c3123ceb7b,parfait,5,2025-10-05 20:19:59
ab54d20b-525b-4db6-9e24-3814e8db3bf0,épatant,5,2025-10-05 20:14:18
9c4c8ba9-cbaf-4a77-b63a-934a2746a4b8,franchement pratique cette application !,4,2025-10-05 20:13:56
167253ce-54f7-4f4d-8391-0f92c4f162f0,surprenant de l'excellence dans la simplicité bref excellentissime,5,2025-10-05 20:12:05
f72eeea1-61c2-4206-afd7-f494b5b5a73b,Nul à chié plus jamais je passe par eux impossible de trouvé un livreur...,1,2025-10-05 20:03:16
53c84c32-91d3-4127-87b4-32f02331efff,👌,5,2025-10-05 19:45:43
1cfa8769-9be5-4713-a1ad-c602d44baaa1,"toujours un souci ! vendeur, livreur, commande, prix, mode de paiement, délais...",1,2025-10-05 19:26:31
db73ae84-9516-405b-b7d8-b15b07cbe48b,les frais de livraison ne sont pas indiqué avant,4,2025-10-05 19:10:36
719af898-86ef-4eea-9fe4-4f37232ebc0a,"y'a des clients ils sorts pas pour récupérer leurs commandes devant le livreur et après comme livreur il met fin à livraison et il dépose la commande devant la porte indiqué par uber ils sortent et ils récupères leurs commandes et ils faits un signalement comme quoi ils ont pas eux leurs commandes pour uber il fait un remboursement, franchement je pose la question esq y'a des gens je ne généralise pas en 2025 qu'ils vols la nourriture",5,2025-10-05 18:49:07
f1b0b2cf-6945-4c28-9999-af47e4fbec2b,"Pratique et service impeccable. mais je suis déçu du prix de la livraison, j'ai commandé dans un restaurant où noté livraison gratuite à partir d'un certain montant et le montant est largement dépassé et il me facture 3.49€ de livraison. se n'est pas normal",2,2025-10-05 18:46:22
ff362f01-2796-419f-8822-be39e3e4460c,"Arnaqueur vous faisant payer leurs annulations et refusant toute remise en cours et aucun remboursement, à fuir autant que possible quand vous pouvez faire autrement ou depuis une compagnie adverse.",1,2025-10-05 16:22:33
740df968-6a67-4ce8-9dc9-2944c6b55f39,je l'est utilisé et a chaque fois on m'a piraté tien tien tien bizarre...,1,2025-10-05 16:08:04
5a186040-23cb-4082-8ee1-a3f3bef3db83,Des voleurs ! 2 commande passé avec des promotions de 1 acheté 1 offert qui est bien mentionné dans l'étiquette collée mais il n'y en a que 1 à l'intérieur ! Le plus fou c'est que Uber ne cherche pas à comprendre et laisse faire ! Le service client est ZERO ! LES PROMOTIONS SONT MENSONGE !,1,2025-10-05 15:52:48
46e363b7-95c2-4792-9d45-8039921335a3,moi je n'ai pas beaucoup d'expérience,5,2025-10-05 14:36:22
0ed2eca1-c6df-40f4-87d4-0d567a3197c0,"Catastrophique. Plusieurs paiements qui échouent (habituel malheureusement), et nouveauté cette fois ci : j'ai ajouté une nouvelle carte bleue car l'ancienne avait expiré, mais l'application selectionnait à chaque fois par défaut l'ancienne carte, alors que je selectionnais la nouvelle. 30 minutes pour commander. Affligeant",1,2025-10-05 12:51:22
22ee8085-b900-423c-b613-f82f2034c6e7,un gros zéro,1,2025-10-05 12:23:33
e6f002de-511f-4992-9faa-ce9773e2b0e5,hier j'ai passé une commande elle n'est jamais arrivé bien sûr débité impossible de les avoir par n'importe quel moyen ce n'est pas sérieux,1,2025-10-05 12:16:38
55134859-5598-414e-9b31-9083364b8fcd,toujours satisfaite,5,2025-10-05 12:12:46
502400ae-b492-41ae-8e64-4ecbe48ab206,ça reste une bonne application pour commander mais les frais sont trop élever et quand on veux essayer gratuitement uber one pendant 14 jours ça nous préleve quand même de l'argent sur notre compte aucun moyen d'annuler le payement franchement horrible,1,2025-10-05 10:14:48
f45a005f-59b4-4858-b66f-887da7c17af9,"J'ai mis une étoile mais car pas le choix ! J'ai commandé un repas que je n'ai jamais reçu, service client qui me dit qu'il ne font pas de remboursement car le livreur a respecté la politique de l'entreprise alors que je n'ai reçu aucun appel de sa part donc je trouve cela abusé de faire payé des clients qui n'ont rien consommé ! Application et entreprise à fuir !!!",1,2025-10-05 09:20:42
b6416a3e-6317-4c4d-9d83-aa4980b536f5,j'ai commandé 2 pizza à 37 euro je me suis retrouvé à payer 50 euro impossible de les joindre au téléphone je suis scandalisé .,1,2025-10-05 09:05:59
d55161e3-b4be-4d24-a83d-f2623a739256,Super,5,2025-10-05 01:43:26
976fee6d-c35b-4f67-b60a-d004593fb493,"Des voleurs à fuir absolument d'une rare malhonnêté. Leur livreur est reparti avec notre commande qu'il avait saccagée et renversée, nous avons refusé la commande et cela a été indiqué comme livré par le livreur. Uber refuse de nous rembourser et de nous indiquer l'identité de leur livreur pour déposer une main courante. Ça a toujours été un service borderline mais là, à part les fuir, pire service existant jamais vu.",1,2025-10-04 22:25:50
b99c3e4b-9aac-40a6-a2e6-97ee80498aa2,Impossible de faire une première commande sur l'application sans avoir accepté l'essai gratuit de 4 semaines,1,2025-10-04 21:35:48
1a695b2d-9dfc-4984-90a2-1e5d0a7bfab4,commande passer manque deux produits sur 6 et l'aide me dit simplement nous ne remboursons pas. c'est clairement abusé vu les tarifs et les frais.,1,2025-10-04 21:09:55
a8bb07ba-ab21-4d9b-9919-6831fd6ef900,il faut arrêter les livraisons multiples. plus d'une heure d'attente. les repas arrivent froids.,1,2025-10-04 20:52:15
31638d32-ec9d-4e6b-acd8-455e73b92ac2,uber eat one qui ne sert a rien 6€ de livraison et 4€ de frais....,1,2025-10-04 20:21:20
35c16ac3-1b0b-4c67-a39a-8aa953018353,Paiement plus élevé que le montant affiché. Arnaque !,1,2025-10-04 20:05:55
6e4a34d2-4b71-45cc-a620-4a425c6baa2a,super rapide,5,2025-10-04 18:51:48
6d52c4b5-8346-4265-9ad2-f51994176290,Frais trop cher,1,2025-10-04 17:29:10
21192e10-bab5-4ed0-98a9-c95a07ee73bb,"J'avais desinstallé l'appli il y a quelques années après une mauvaise expérience avec le service, 3 commandes, 3 problème et au 3eme le sav dit que c'est ma faute. J'ai réinstaller cette semaine pour réessayer, c'est insupportable l'appli m'a proposé au moins 4 fois de prendre l'abonnement, si je dit non une fois je vais pas dire oui 1 minutes après. Et tout aussi insupportable, au moment de valider la commande j'ai eu 3 écran me demandant si je voulais pas tel ou tel produit en plus.",1,2025-10-04 16:12:49
a96bc495-45e1-479c-bf68-32346011ec26,"Aujourd'hui même, j'ai appelé le service clients pour faire une réclamation au sujet d'un vol dans ma commande et on me raccroche au nez en transférant l'appel vers le restaurant où j'ai commandé, alors que le resto n'y est pour rien. Plus jamais je ne commanderais chez Uber Eats. 😡",1,2025-10-04 14:35:05
cc17a697-963a-4156-840b-10f5f252c326,une erreur d'adresse qui a été réalisée en moins de 10 secondes il était impossible de changer l'adresse. La commande à été simplement annulée et j'ai reçu des frais. J'ai demandé de l'aide a deux agents et ceux-ci n'ont été complètement d'aucune aide il ont ignoré ma situation.,1,2025-10-04 13:26:04
b7678e83-8e56-4f2a-aabd-81c43735e668,je viens de commander über eat les livreurs ne font pas attention je viens de retrouver ma pizza complètement écrasé et froide du coup je mange que de la pâte et bien évidemment je ne serai jamais remboursé,1,2025-10-04 13:01:25
4001f597-3abe-4f17-b089-35052eb4eeca,"Je vous mets 1 tellement vous me saoulez avec votre uber one, vous forcez trop. Même sur une commande on ne voit plus le montant total car vous y mettez un encart pour nous forcer a prendre votre abonnement, et même si l'abonnement est interressant pour les frais de livraison, vous vous rattrapez sur les frais de service qui eux augmentent .. Donc terminé je vous boycott...",1,2025-10-04 12:58:06
1031ef73-d96e-4bc3-8082-329c27d63146,Je me suis créer un compte sur le site internet de Uber eats mais une fois sur l'application mobile je ne peux pas m'y connecter car sois disant mon compte est bloqué. Donc je n'ai même pas pû commander. Voilà ma seule expérience avec Uber et je pense que tout ceux qui veulent commander sans aucun problème feraient mieux d'utiliser deliveroo. Et dommage que l'ont ne puissent as mettre 0 étoiles.,1,2025-10-04 12:01:24
fabe5955-ef25-4ce7-b0ff-b8bb32f17c63,Trop d'arnaque via leurs livreur en plus des prix doublé sur des articles qui valent bien moins chère. De nombreuse arnaque. Ne respecte pas les personnes handicapés.....discrimination sur les clients majoritaire. 0 remboursement. 0 dédommagement. Une plainte devant la justice est une obligation.,1,2025-10-04 10:18:52
189064ba-5ef8-49b3-a97e-5d3432a7f44e,"Je n'arrive pas à comprendre pourquoi quand j'ai reçu une commande erronée, qu'on ne me rembourse que le menu Je n'ai pas mangé hier soir mais je dois quand même payer le livreur ? plus jamais, j'ai peur de devoir jeter 5 euros par les fenêtres pour crever de faim",2,2025-10-04 08:51:55
77d745ad-a4d1-47f7-bd6f-97a309357900,"SAV minable, repas livré froid et en retard, remboursement de moins de 2 euros sur une commande de 20 euros, et sur le wallet même pas sur le moyen de paiement d’origine. Aucune communication, que des robots. A fuir !!!",1,2025-10-04 07:07:58
b4a31f72-1fe3-436b-9902-3743ec58a7ac,"Uber Eats a canceller mon abonnement à Uber One sans mon consentement et a refusé de me rembourser. c'est extrêmement difficile de communiquer avec les représentants, aucun d'eux ne fait de suivi des conversations précédentes et c'est toujours à recommencer. Ils finissent toujours par t'avoir a l'usure.",3,2025-10-03 23:35:30
27aef96d-08fd-4b11-a468-9b24b50506d2,"plusieurs erreurs de commande , des commandes ""dites livrés"" mais jamais rien reçu au domicile",1,2025-10-03 22:43:09
1199aa19-4cdb-4240-b432-f50df82b43af,"commande à plus de 80CHF, jamais arrivée, on appelle le livreur qui comprend rien, zero sur toute la ligne,et le service uber... personne ne repond je n'ai jamais été remboursé. Plus JAMAIS. Prenez juste eat, qualité et jamais déçu! a jamais uber de mes deux",1,2025-10-03 21:51:51
65a93c21-7830-427a-b307-bb398862a0f0,un peu mieux parce que au bout de 5 ans d utilisation j'ai enfin eu une promo,4,2025-10-03 21:46:04
b00c30d4-a116-42b3-9dc4-8b52b96d5e65,"le livreur se trompe d'adresse, dis que c'est ma faute et en plus il se permet de me raccrocher au nez. Enfin de compte 1 heure de retard pour une commande que je n'ai toujours pas.",1,2025-10-03 21:15:13
1cafb31e-bd41-4db3-8521-00e6bf0bf668,facile d'accès mais frais de livraison légèrement élever comparer à ce que touche un coursier par course,5,2025-10-03 21:12:19
012d543a-7253-4618-ae12-17c074ed958f,ma cantine tout les jours,5,2025-10-03 21:11:09
